,prospectid,total_tl,tot_closed_tl,tot_active_tl,total_tl_opened_l6m,tot_tl_closed_l6m,pct_tl_open_l6m,pct_tl_closed_l6m,pct_active_tl,pct_closed_tl,total_tl_opened_l12m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12m,tot_missed_pmnt,auto_tl,cc_tl,consumer_tl,gold_tl,home_tl,pl_tl,secured_tl,unsecured_tl,other_tl,age_oldest_tl,age_newest_tl,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,cc_enq,cc_enq_l6m,cc_enq_l12m,pl_enq,pl_enq_l6m,pl_enq_l12m,time_since_recent_enq,enq_l12m,enq_l6m,enq_l3m,maritalstatus,education,age,gender,netmonthlyincome,time_with_curr_empr,pct_of_active_tls_ever,pct_opened_tls_l6m_of_l12m,pct_currentbal_all_tl,cc_utilization,cc_flag,pl_utilization,pl_flag,pct_pl_enq_l6m_of_l12m,pct_cc_enq_l6m_of_l12m,pct_pl_enq_l6m_of_ever,pct_cc_enq_l6m_of_ever,max_unsec_exposure_inpct,hl_flag,gl_flag,last_prod_enq2,first_prod_enq2,credit_score,approved_flag
2690,2691,2,2,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,0.5,0,0,0,2,0,0,0,0,2,0,27.0,18.0,344.0,,,0,,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0,0.0,0.0,Married,12TH,31,F,12000,62,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,ConsumerLoan,695,P2
2691,2692,7,4,3,1,1,0.143,0.143,0.429,0.571,3,2,0.429,0.286,1,2,0,1,3,0,0,6,1,1,18.0,3.0,36.0,16.0,8.0,8,26.0,26,0,3,3,0.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,4.0,3.0,0.0,Single,12TH,35,M,12000,120,0.429,0.333,0.783,,0,,0,0.0,0.0,0.0,0.0,,1,0,others,others,668,P3
2692,2693,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,1,0,0,0,0,1,0,1.0,1.0,,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,17.0,16.0,10.0,Married,GRADUATE,30,F,60000,40,1.0,1.0,1.0,,0,,0,0.667,1.0,0.667,1.0,0.246,0,0,others,others,626,P4
2693,2694,7,4,3,1,0,0.143,0.0,0.429,0.571,1,0,0.143,0.0,1,0,0,1,6,0,0,6,1,0,76.0,3.0,64.0,30.0,6.0,19,272.0,272,0,1,1,0.0,13.0,18,18,6,0,0,1,0,0,0,0,0,0,0,0,13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,4.0,1.0,0.0,Married,12TH,29,M,30000,250,0.429,1.0,0.865,,0,,0,0.0,0.0,0.0,0.0,0.533,1,0,ConsumerLoan,AL,691,P2
2694,2695,3,1,2,0,1,0.0,0.333,0.667,0.333,0,1,0.0,0.333,0,0,0,3,0,0,0,0,3,0,33.0,25.0,441.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,1.0,Married,12TH,25,M,18000,50,0.667,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,2.889,0,0,ConsumerLoan,ConsumerLoan,681,P2
2695,2696,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,66.0,66.0,1064.0,,,0,,0,0,0,0,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,2.0,2.0,2.0,Married,UNDER GRADUATE,29,M,33000,115,1.0,0.0,1.0,,0,,0,1.0,0.0,1.0,0.0,0.001,0,0,ConsumerLoan,PL,667,P3
2696,2697,23,16,7,3,0,0.13,0.0,0.304,0.696,6,2,0.261,0.087,6,0,0,1,18,0,1,21,2,3,82.0,4.0,59.0,27.0,26.0,2,31.0,1,0,0,0,0.0,0.0,1,0,52,0,5,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,2.0,0.0,0.0,683.0,0.0,0.0,0.0,Married,OTHERS,47,M,58000,188,0.304,0.5,0.869,,0,0.567,1,0.0,0.0,0.0,0.0,2.931,1,0,PL,ConsumerLoan,674,P2
2697,2698,3,0,3,1,0,0.333,0.0,1.0,0.0,1,0,0.333,0.0,0,3,0,0,0,0,0,3,0,0,39.0,6.0,31.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,3.0,0.0,0.0,Married,OTHERS,23,M,25000,82,1.0,1.0,0.64,,0,,0,0.0,0.0,0.0,0.0,,0,0,AL,others,684,P2
2698,2699,5,4,1,0,0,0.0,0.0,0.2,0.8,0,0,0.0,0.0,0,2,0,0,0,0,2,3,2,1,96.0,18.0,529.0,,,0,,0,0,0,0,,,0,0,22,5,11,0,0,0,0,0,0,0,0,0,0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,534.0,0.0,0.0,0.0,Married,SSC,56,M,25000,185,0.2,0.0,0.64,,0,0.64,1,0.0,0.0,0.0,0.0,11.4,0,0,PL,others,715,P1
2699,2700,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,74.0,74.0,1608.0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2233.0,0.0,0.0,0.0,Married,12TH,42,M,45000,307,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,AL,AL,707,P1
2700,2701,2,1,1,0,0,0.0,0.0,0.5,0.5,0,1,0.0,0.5,0,0,0,1,0,0,0,0,2,1,49.0,19.0,288.0,25.0,10.0,6,54.0,42,0,2,2,0.0,54.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,Married,12TH,41,M,30000,125,0.5,0.0,0.3,,0,,0,0.0,0.0,0.0,0.0,0.333,0,0,ConsumerLoan,ConsumerLoan,652,P4
2701,2702,9,7,2,0,1,0.0,0.111,0.222,0.778,0,1,0.0,0.111,0,3,0,0,4,0,0,9,0,2,97.0,14.0,96.0,,,0,,0,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,Married,12TH,44,M,10000,180,0.222,0.0,0.321,,0,,0,0.0,0.0,0.0,0.0,,1,0,others,others,696,P2
2702,2703,7,4,3,0,0,0.0,0.0,0.429,0.571,0,0,0.0,0.0,0,1,0,2,4,0,0,5,2,0,88.0,17.0,221.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,2.0,1.0,1.0,Married,GRADUATE,38,M,20000,175,0.429,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,1.6,1,0,ConsumerLoan,AL,697,P2
2703,2704,3,2,1,1,0,0.333,0.0,0.333,0.667,1,1,0.333,0.333,0,0,0,1,2,0,0,2,1,0,34.0,6.0,78.0,23.0,23.0,1,26.0,26,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.0,0.0,0.0,0.0,1.0,1.0,1.0,169.0,2.0,2.0,0.0,Single,12TH,25,M,22000,78,0.333,1.0,0.4,,0,,0,1.0,0.0,1.0,0.0,0.641,1,0,PL,others,648,P4
2704,2705,4,4,0,0,3,0.0,0.75,0.0,1.0,1,3,0.25,0.75,0,0,0,4,0,0,0,0,4,0,24.0,10.0,112.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,723.0,0.0,0.0,0.0,Married,GRADUATE,48,M,28000,123,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,HL,690,P2
2705,2706,3,1,2,0,0,0.0,0.0,0.667,0.333,0,1,0.0,0.333,0,0,0,3,0,0,0,0,3,0,20.0,13.0,111.0,10.0,3.0,4,11.0,11,1,4,3,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,8.0,6.0,6.0,Single,GRADUATE,24,F,23000,68,0.667,0.0,0.063,,0,,0,0.0,0.0,0.0,0.0,3.036,0,0,ConsumerLoan,ConsumerLoan,651,P4
2706,2707,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,12.0,12.0,120.0,9.0,6.0,4,39.0,7,0,4,4,0.0,39.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,1.0,1.0,Married,GRADUATE,35,F,35000,125,1.0,0.0,0.012,,0,,0,0.0,0.0,0.0,0.0,0.696,0,0,ConsumerLoan,ConsumerLoan,672,P2
2707,2708,2,0,2,1,0,0.5,0.0,1.0,0.0,1,0,0.5,0.0,1,0,1,0,0,0,1,0,2,0,26.0,1.0,30.0,7.0,7.0,1,28.0,28,0,1,1,0.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7.0,2.0,1.0,1.0,5.0,2.0,3.0,87.0,4.0,3.0,1.0,Married,POST-GRADUATE,29,M,30000,66,1.0,1.0,0.897,0.528,1,1.0,1,0.667,1.0,0.4,0.5,3.194,0,0,PL,CC,670,P2
2708,2709,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,1,2,0,0,0,0,0,2,0,0,50.0,8.0,1147.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,3.0,0.0,0.0,Married,SSC,27,M,25000,78,0.5,0.0,1.179,,0,,0,0.0,0.0,0.0,0.0,,0,0,AL,others,686,P2
2709,2710,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,47.0,47.0,1113.0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,OTHERS,31,F,25000,96,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,680,P2
2710,2711,5,1,4,2,1,0.4,0.2,0.8,0.2,3,1,0.6,0.2,1,0,0,1,0,0,0,0,5,4,16.0,2.0,48.0,,,0,,0,0,0,0,0.0,0.0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,Married,12TH,38,M,30000,63,0.8,0.667,0.598,,0,,0,0.0,0.0,0.0,0.0,1.534,0,0,others,others,684,P2
2711,2712,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,6.0,6.0,48.0,,,0,,0,0,0,0,,,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,GRADUATE,32,M,35000,93,1.0,0.0,1.0,,0,,0,0.0,0.0,0.0,0.0,0.02,0,0,others,others,685,P2
2712,2713,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,7.0,7.0,,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,GRADUATE,27,F,10000,148,1.0,0.0,1.0,,0,,0,0.0,0.0,0.0,0.0,,1,0,others,others,681,P2
2713,2714,2,0,2,1,0,0.5,0.0,1.0,0.0,1,0,0.5,0.0,0,0,0,1,0,0,0,1,1,1,145.0,6.0,56.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,2.0,1.0,0.0,Married,OTHERS,51,M,25000,190,1.0,1.0,0.222,,0,,0,0.0,0.0,0.0,0.0,0.76,0,0,others,others,721,P1
2714,2715,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,1,0,1,0,0,0,1,1,0,44.0,14.0,77.0,25.0,20.0,6,273.0,121,0,0,0,0.0,0.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,121,5.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,2.0,1.0,1.0,Married,POST-GRADUATE,29,M,26700,187,0.5,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,0.543,0,0,others,AL,655,P4
2715,2716,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,48.0,48.0,1160.0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,12TH,34,M,10000,63,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,1,0,others,others,688,P2
2716,2717,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1,1,0,0,0,0,0,1,0,0,8.0,8.0,,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,SSC,31,M,40000,188,1.0,0.0,0.792,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,682,P2
2717,2718,7,2,5,3,1,0.429,0.143,0.714,0.286,6,1,0.857,0.143,0,0,0,7,0,0,0,0,7,0,25.0,4.0,88.0,23.0,4.0,2,29.0,29,1,1,0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,1.0,1.0,Single,GRADUATE,24,M,40000,28,0.714,0.5,0.31,,0,,0,0.0,0.0,0.0,0.0,1.174,0,0,ConsumerLoan,ConsumerLoan,678,P2
2718,2719,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,17.0,17.0,69.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,Single,12TH,22,M,25000,78,1.0,0.0,0.746,,0,,0,0.0,0.0,0.0,0.0,,0,0,AL,AL,691,P2
2719,2720,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,34.0,22.0,60.0,,,0,,0,0,0,0,,,0,0,53,8,20,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,36.0,1.0,1.0,1.0,Married,OTHERS,39,M,25000,188,1.0,0.0,0.508,,0,0.508,1,0.0,0.0,0.0,0.0,6.668,0,0,ConsumerLoan,PL,705,P1
2720,2721,4,2,2,0,0,0.0,0.0,0.5,0.5,1,1,0.25,0.25,2,4,0,0,0,0,0,4,0,0,53.0,12.0,,19.0,14.0,4,30.0,30,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,Married,POST-GRADUATE,29,M,35000,61,0.5,0.0,0.586,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,AL,671,P2
2721,2722,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,45.0,45.0,,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,SSC,26,F,39000,68,1.0,0.0,1.043,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,687,P2
2722,2723,4,0,4,1,0,0.25,0.0,1.0,0.0,1,0,0.25,0.0,1,1,0,3,0,0,0,1,3,0,23.0,5.0,410.0,7.0,3.0,12,28.0,27,9,12,3,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,1.0,1.0,Married,12TH,36,M,47000,177,1.0,1.0,1.06,,0,,0,0.0,0.0,0.0,0.0,1.111,0,0,others,ConsumerLoan,667,P3
2723,2724,2,1,1,0,0,0.0,0.0,0.5,0.5,0,1,0.0,0.5,0,1,0,1,0,0,0,1,1,0,85.0,21.0,374.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,131.0,1.0,1.0,0.0,Married,12TH,38,M,22000,256,0.5,0.0,0.0,,0,,0,1.0,0.0,1.0,0.0,,0,0,PL,AL,682,P2
2724,2725,3,1,2,0,0,0.0,0.0,0.667,0.333,0,0,0.0,0.0,0,1,0,0,0,2,0,3,0,0,39.0,14.0,90.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,Married,GRADUATE,32,M,18000,146,0.667,0.0,0.995,,0,,0,0.0,0.0,0.0,0.0,,0,1,ConsumerLoan,others,676,P2
2725,2726,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,1,0,21.0,21.0,354.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,Married,GRADUATE,38,M,20000,174,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,ConsumerLoan,684,P2
2726,2727,43,38,5,0,0,0.0,0.0,0.116,0.884,3,4,0.07,0.093,1,2,0,0,35,0,0,40,3,6,147.0,7.0,40.0,,,0,,0,0,0,0,0.0,0.0,0,0,105,9,23,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,3.0,0.0,0.0,Married,GRADUATE,43,M,43000,128,0.116,0.0,0.955,,0,,0,0.0,0.0,0.0,0.0,52.326,1,0,ConsumerLoan,others,738,P1
2727,2728,6,3,3,0,0,0.0,0.0,0.5,0.5,3,0,0.5,0.0,0,0,0,3,3,0,0,3,3,0,43.0,9.0,28.0,31.0,7.0,15,190.0,61,0,2,2,0.0,56.0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,25,19.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,19.0,16.0,5.0,Married,SSC,27,M,30000,56,0.5,0.0,0.091,,0,,0,1.0,1.0,1.0,1.0,1.519,1,0,ConsumerLoan,ConsumerLoan,642,P4
2728,2729,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,38.0,38.0,586.0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,0.0,0.0,Married,UNDER GRADUATE,52,M,16000,77,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,678,P2
2729,2730,3,2,1,0,0,0.0,0.0,0.333,0.667,0,1,0.0,0.333,0,2,1,0,0,0,0,2,1,0,55.0,14.0,73.0,35.0,33.0,2,30.0,30,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2.0,1.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,Single,GRADUATE,26,M,45000,66,0.333,0.0,0.96,0.96,1,,0,0.0,0.0,0.0,0.0,1.549,0,0,CC,AL,671,P2
2730,2731,4,2,2,2,2,0.5,0.5,0.5,0.5,4,2,1.0,0.5,0,1,1,0,1,0,0,3,1,1,12.0,1.0,62.0,,,0,,0,0,0,0,0.0,0.0,0,0,22,8,20,0,0,0,0,0,0,0,0,0,0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,28.0,4.0,4.0,3.0,Single,OTHERS,25,M,0,26,0.5,0.5,0.98,,1,,0,0.0,1.0,0.0,1.0,,1,0,CC,others,674,P2
2731,2732,3,2,1,1,1,0.333,0.333,0.333,0.667,2,1,0.667,0.333,0,1,0,2,0,0,0,1,2,0,41.0,4.0,42.0,30.0,27.0,4,30.0,30,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,3.0,1.0,0.0,Married,UNDER GRADUATE,26,M,29000,81,0.333,0.5,0.741,,0,,0,0.0,0.0,0.0,0.0,0.446,0,0,ConsumerLoan,others,660,P3
2732,2733,6,0,6,4,0,0.667,0.0,1.0,0.0,4,0,0.667,0.0,3,1,0,3,0,0,0,1,5,2,19.0,2.0,47.0,6.0,3.0,4,27.0,26,3,4,1,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,Single,12TH,38,M,16000,182,1.0,1.0,0.568,,0,,0,0.0,0.0,0.0,0.0,6.463,0,0,ConsumerLoan,others,674,P2
2733,2734,13,6,7,1,1,0.077,0.077,0.538,0.462,3,1,0.231,0.077,3,5,0,5,0,0,2,5,8,1,56.0,3.0,73.0,,,0,,0,0,0,0,0.0,0.0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,13.0,0.0,0.0,0.0,4.0,0.0,2.0,6.0,5.0,2.0,2.0,Married,UNDER GRADUATE,37,F,18000,185,0.538,0.333,0.544,,0,0.95,1,0.0,0.0,0.0,0.0,11.156,0,0,ConsumerLoan,others,674,P2
2734,2735,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,0,0,0,0,0,1,0,2,0,1,17.0,9.0,35.0,17.0,17.0,1,20.0,20,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,1.0,0.0,0.0,Married,OTHERS,54,F,30000,23,1.0,0.0,0.936,,0,,0,0.0,0.0,0.0,0.0,,0,1,others,others,659,P3
2735,2736,9,5,4,1,1,0.111,0.111,0.444,0.556,1,1,0.111,0.111,0,0,1,2,1,0,0,5,4,5,87.0,4.0,54.0,32.0,14.0,20,90.0,30,0,0,0,0.0,0.0,16,10,11,4,8,0,0,0,0,0,0,0,0,0,2,5.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,2.0,2.0,1.0,Married,OTHERS,42,M,20000,122,0.444,1.0,0.226,0.0,1,,0,1.0,0.0,1.0,0.0,8.833,1,0,PL,ConsumerLoan,674,P2
2736,2737,1,1,0,0,1,0.0,1.0,0.0,1.0,1,1,1.0,1.0,0,0,0,0,1,0,0,1,0,0,7.0,7.0,163.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,OTHERS,35,M,15000,66,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,1,0,others,others,670,P2
2737,2738,3,0,3,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,2,0,3,0,62.0,25.0,66.0,,,0,,0,0,0,0,0.0,0.0,0,0,58,8,20,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,753.0,0.0,0.0,0.0,Married,12TH,45,M,55000,266,1.0,0.0,0.289,,0,0.352,1,0.0,0.0,0.0,0.0,2.213,0,0,ConsumerLoan,PL,713,P1
2738,2739,4,2,2,0,0,0.0,0.0,0.5,0.5,1,0,0.25,0.0,1,1,0,0,3,0,0,4,0,0,76.0,7.0,368.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2284.0,0.0,0.0,0.0,Married,SSC,34,M,30000,101,0.5,0.0,0.904,,0,,0,0.0,0.0,0.0,0.0,,1,0,AL,AL,714,P1
2739,2740,19,9,10,5,2,0.263,0.105,0.526,0.474,12,6,0.632,0.316,3,2,1,9,2,0,1,4,15,4,56.0,2.0,41.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,0.0,1.0,2.0,0.0,2.0,77.0,7.0,3.0,1.0,Married,12TH,29,M,32000,104,0.526,0.417,0.818,0.948,1,0.835,1,0.0,0.0,0.0,0.0,7.67,1,0,ConsumerLoan,others,696,P2
2740,2741,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,1,0,1,0,0,0,1,1,0,8.0,6.0,31.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,3.0,1.0,0.0,Married,SSC,34,M,25000,149,1.0,0.5,1.155,,0,,0,0.0,0.0,0.0,0.0,0.66,0,0,others,others,684,P2
2741,2742,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,49.0,49.0,,,,0,,0,0,0,0,,,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,GRADUATE,51,M,16000,185,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,680,P2
2742,2743,2,2,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,2,0,0,0,0,0,2,0,0,61.0,47.0,531.0,,,0,,0,0,0,0,,,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Married,12TH,46,M,26000,125,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,others,673,P2
2743,2744,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,1,0,0,0,0,1,0,1.0,1.0,,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,3.0,3.0,2.0,Single,GRADUATE,33,F,16500,150,1.0,1.0,1.0,,0,,0,1.0,0.0,1.0,0.0,0.902,0,0,ConsumerLoan,PL,660,P3
